T_N,h_min_m,is_knee
2474.918,1581.8861,False
2504.383,1584.0473,False
2533.848,1586.2268,False
2563.314,1588.4242,False
2592.779,1590.6391,False
2622.244,1592.8713,False
2651.709,1595.1205,False
2681.175,1597.3864,False
2710.640,1599.6686,False
2740.105,1601.9671,False
2769.570,1604.2812,False
2799.035,1606.6107,False
2828.501,1608.9556,False
2857.966,1611.3153,False
2887.431,1613.6894,False
2916.896,1616.0779,False
2946.362,1618.4802,False
2975.827,1620.8963,False
3005.292,1623.3256,False
3034.757,1625.7679,False
3064.223,1628.2229,False
3093.688,1630.6903,False
3123.153,1633.1697,False
3152.618,1635.6609,False
3182.084,1638.1637,False
3211.549,1640.6774,False
3241.014,1643.2020,False
3270.479,1645.7373,False
3299.944,1648.2827,False
3329.410,1650.8379,False
3358.875,1653.4028,False
3388.340,1655.9770,False
3417.805,1658.5601,False
3447.271,1661.1520,False
3476.736,1663.7522,False
3506.201,1666.3605,False
3535.666,1668.9765,False
3565.132,1671.6000,False
3594.597,1674.2307,False
3624.062,1676.8682,False
3653.527,1679.5125,False
3682.993,1682.1630,False
3712.458,1684.8194,False
3741.923,1687.4817,False
3771.388,1690.1495,False
3800.854,1692.8223,False
3830.319,1695.5001,False
3859.784,1698.1824,False
3889.249,1700.8690,False
3918.714,1703.5598,False
3948.180,1706.2544,False
3977.645,1708.9526,False
4007.110,1711.6540,False
4036.575,1714.3584,False
4066.041,1717.0656,False
4095.506,1719.7753,False
4124.971,1722.4872,False
4154.436,1725.2014,False
4183.902,1727.9172,False
4213.367,1730.6345,False
4242.832,1733.3533,False
4272.297,1736.0730,False
4301.763,1738.7938,False
4331.228,1741.5150,False
4360.693,1744.2368,False
4390.158,1746.9586,False
4419.623,1749.6807,False
4449.089,1752.4025,False
4478.554,1755.1239,False
4508.019,1757.8445,False
4537.484,1760.5645,False
4566.950,1763.2834,False
4596.415,1766.0012,False
4625.880,1768.7177,False
4655.345,1771.4325,False
4684.811,1774.1457,False
4714.276,1776.8569,False
4743.741,1779.5661,False
4773.206,1782.2730,False
4802.672,1784.9778,False
4832.137,1787.6798,False
4861.602,1790.3791,False
4891.067,1793.0757,False
4920.533,1795.7692,False
4949.998,1798.4595,False
4979.463,1801.1468,False
5008.928,1803.8304,False
5038.393,1806.5107,False
5067.859,1809.1871,False
5097.324,1811.8599,False
5126.789,1814.5286,False
5156.254,1817.1935,False
5185.720,1819.8542,False
5215.185,1822.5107,False
5244.650,1825.1626,False
5274.115,1827.8102,False
5303.581,1830.4533,False
5333.046,1833.0916,False
5362.511,1835.7252,False
5391.976,1838.3540,False
5421.442,1840.9776,False
5450.907,1843.5964,False
5480.372,1846.2101,False
5509.837,1848.8185,False
5539.302,1851.4220,False
5568.768,1854.0199,False
5598.233,1856.6123,False
5627.698,1859.1993,False
5657.163,1861.7807,False
5686.629,1864.3565,False
5716.094,1866.9266,False
5745.559,1869.4913,False
5775.024,1872.0499,False
5804.490,1874.6026,False
5833.955,1877.1497,False
5863.420,1879.6907,False
5892.885,1882.2256,False
5922.351,1884.7547,False
5951.816,1887.2775,False
5981.281,1889.7944,False
6010.746,1892.3050,False
6040.212,1894.8096,False
6069.677,1897.3077,False
6099.142,1899.7998,False
6128.607,1902.2854,False
6158.072,1904.7649,False
6187.538,1907.2378,False
6217.003,1909.7047,False
6246.468,1912.1650,True
6275.933,1914.6188,False
6305.399,1917.0664,False
6334.864,1919.5075,False
6364.329,1921.9421,False
6393.794,1924.3700,False
6423.260,1926.7917,False
6452.725,1929.2068,False
6482.190,1931.6154,False
6511.655,1934.0173,False
6541.121,1936.4129,False
6570.586,1938.8019,False
6600.051,1941.1844,False
6629.516,1943.5603,False
6658.981,1945.9297,False
6688.447,1948.2925,False
6717.912,1950.6487,False
6747.377,1952.9984,False
6776.842,1955.3415,False
6806.308,1957.6780,False
6835.773,1960.0080,False
6865.238,1962.3315,False
6894.703,1964.6484,False
6924.169,1966.9588,False
6953.634,1969.2626,False
6983.099,1971.5599,False
7012.564,1973.8507,False
7042.030,1976.1350,False
7071.495,1978.4127,False
7100.960,1980.6843,False
7130.425,1982.9491,False
7159.891,1985.2075,False
7189.356,1987.4594,False
7218.821,1989.7048,False
7248.286,1991.9441,False
7277.751,1994.1767,False
7307.217,1996.4030,False
7336.682,1998.6228,False
7366.147,2000.8365,False
7395.612,2003.0437,False
7425.078,2005.2445,False
7454.543,2007.4390,False
7484.008,2009.6275,False
7513.473,2011.8094,False
7542.939,2013.9850,False
7572.404,2016.1548,False
7601.869,2018.3180,False
7631.334,2020.4752,False
7660.800,2022.6261,False
7690.265,2024.7708,False
7719.730,2026.9096,False
7749.195,2029.0421,False
7778.660,2031.1686,False
7808.126,2033.2890,False
7837.591,2035.4032,False
7867.056,2037.5117,False
7896.521,2039.6139,False
7925.987,2041.7104,False
7955.452,2043.8007,False
7984.917,2045.8853,False
8014.382,2047.9637,False
8043.848,2050.0366,False
8073.313,2052.1032,False
8102.778,2054.1644,False
8132.243,2056.2194,False
8161.709,2058.2690,False
8191.174,2060.3127,False
8220.639,2062.3505,False
8250.104,2064.3828,False
8279.570,2066.4092,False
8309.035,2068.4301,False
8338.500,2070.4451,False
