theta_deg,T_req_H7margin_N,T_feas_lo_N,T_opt_knee_N,h_min_m,safe
0.0,388.19,1231.35,1713.19,1531.64,True
2.5,556.91,1191.80,1555.19,1520.22,True
5.0,812.16,1155.73,1520.96,1518.91,True
7.5,1120.40,1124.32,1491.15,1517.63,True
10.0,1486.53,1486.53,2880.15,1616.62,True
12.5,1916.35,1916.35,6488.05,1933.41,True
15.0,2474.92,2474.92,6251.46,1912.58,True
17.5,3058.86,3058.86,6190.85,1904.92,True
20.0,3801.56,3801.56,6262.27,1906.93,True
22.5,4658.39,4658.39,6529.63,1923.25,True
25.0,5645.52,5645.52,6969.19,1950.10,True
27.5,6880.77,6880.77,7597.28,1985.83,True
30.0,8313.99,8313.99,8326.04,2021.35,True
